model,DR,FA,SP,PR,ACC,F1,AUC,printed_page,pdf_page
FC-SAE,83,14,86,83,84.5,83,83,4116,11
LSTM-SAE,86,12,88,87,87,86.5,85,4116,11
FC-VAE,90,9,91,91,90.5,90.5,88,4116,11
LSTM-VAE,93,6,94,93,93.5,93,90,4116,11
LSTM-AEA,96,4,96,95,96,95.5,93,4116,11
Naive Bayes,75,16,84,75,79.5,77,73,4116,11
ARIMA,88,10,90,87,89,87,88,4116,11
Single-class SVM,91,8.5,91.5,90,91,90,89,4116,11
Feed forward,91,9.5,90.5,90,91,90.5,89,4116,11
LSTM,91.5,9,91,90.5,91,91,90,4116,11
Multi-class SVM,92,7.5,92.5,91,92,91.5,90,4116,11
