model,metric,p0,p10,p20,p30
random_forest,DR,82.2,77.8,72.7,66.8
random_forest,FA,17.6,20.3,26.4,33.3
random_forest,SP,82.4,79.7,73.6,66.7
random_forest,PR,82.1,77.7,73.8,66.6
random_forest,ACC,82.3,78.7,73.1,66.7
random_forest,F1,82.1,77.7,72.7,66.7
random_forest,AUC,81.4,78.6,73.9,66.7
adaboost,DR,85.7,81.2,76.2,70.1
adaboost,FA,14.1,18.4,23.3,29.9
adaboost,SP,85.9,81.6,76.7,70.1
adaboost,PR,85.3,81.1,76.1,70.0
adaboost,ACC,85.8,81.4,76.4,70.1
adaboost,F1,85.5,81.1,76.1,70.0
adaboost,AUC,85.0,82.1,77.3,70.0
arima,DR,87.8,83.3,78.1,72.0
arima,FA,12.4,16.8,22.1,28.4
arima,SP,87.6,83.2,77.9,71.6
arima,PR,87.1,83.0,78.2,72.1
arima,ACC,87.7,83.2,78.0,71.8
arima,F1,87.4,83.1,78.1,72.0
arima,AUC,87.1,84.2,79.1,72.1
svm,DR,89.2,84.8,79.7,73.7
svm,FA,10.2,14.5,19.6,25.7
svm,SP,89.8,85.5,80.4,74.3
svm,PR,89.0,84.5,79.5,74.0
svm,ACC,89.5,85.1,80.0,74.0
svm,F1,89.1,84.6,79.6,73.8
svm,AUC,89.5,85.7,79.8,74.0
feed_forward,DR,90.8,86.5,81.6,76.0
feed_forward,FA,9.3,13.5,18.5,24.4
feed_forward,SP,90.7,86.5,81.5,75.6
feed_forward,PR,90.0,86.5,81.5,75.8
feed_forward,ACC,90.7,86.5,81.5,75.8
feed_forward,F1,90.4,86.5,81.5,75.9
feed_forward,AUC,91.1,86.4,81.3,76.1
gru,DR,92.4,88.3,83.7,78.5
gru,FA,6.8,10.8,15.3,20.6
gru,SP,93.2,89.2,84.7,79.4
gru,PR,92.3,88.7,84.0,79.0
gru,ACC,92.8,88.7,84.2,78.9
gru,F1,92.3,88.5,83.8,78.7
gru,AUC,92.1,88.2,83.8,79.4
aea,DR,94.1,90.2,85.8,80.8
aea,FA,5.2,9.2,13.5,18.4
aea,SP,94.8,90.8,86.5,81.6
aea,PR,94.5,90.3,85.2,80.6
aea,ACC,94.4,90.5,86.1,81.2
aea,F1,94.3,90.2,85.5,80.7
aea,AUC,94.0,90.1,85.9,80.3
