model,metric,p0,p10,p20,p30
random_forest,DR,79.1,74.3,68.7,62.0
random_forest,FA,19.4,24.6,29.9,35.1
random_forest,SP,80.6,75.4,70.1,64.9
random_forest,PR,78.6,74.7,68.9,62.5
random_forest,ACC,79.8,74.8,69.4,63.4
random_forest,F1,78.8,74.5,68.8,62.2
random_forest,AUC,79.1,75.0,69.3,62.1
adaboost,DR,82.5,77.8,72.2,65.5
adaboost,FA,16.6,21.2,26.8,32.9
adaboost,SP,83.4,78.8,73.2,67.1
adaboost,PR,82.0,78.1,72.2,65.9
adaboost,ACC,82.9,78.3,72.7,66.3
adaboost,F1,82.2,77.9,72.2,65.7
adaboost,AUC,82.3,78.3,72.7,65.4
arima,DR,84.6,79.9,74.3,67.7
arima,FA,14.6,19.3,24.8,31.2
arima,SP,85.4,80.7,75.2,68.8
arima,PR,84.1,80.0,74.0,67.9
arima,ACC,85.0,80.3,74.7,68.2
arima,F1,84.3,79.9,74.1,67.8
arima,AUC,84.3,80.1,74.2,67.8
svm,DR,87.1,82.6,77.2,70.8
svm,FA,12.4,17.0,22.4,28.7
svm,SP,87.6,83.0,77.6,71.3
svm,PR,87.0,82.0,77.5,71.1
svm,ACC,87.3,82.8,77.4,71.0
svm,F1,87.0,82.3,77.3,70.9
svm,AUC,87.2,82.5,77.3,70.9
feed_forward,DR,88.7,84.3,79.1,72.8
feed_forward,FA,11.7,16.2,21.5,27.7
feed_forward,SP,88.3,83.8,78.5,72.3
feed_forward,PR,88.5,84.0,78.9,72.4
feed_forward,ACC,88.5,84.0,78.8,72.5
feed_forward,F1,88.6,84.1,79.0,72.6
feed_forward,AUC,88.6,85.8,78.5,72.4
gru,DR,90.0,85.6,80.4,74.2
gru,FA,10.4,14.7,19.9,26.1
gru,SP,89.6,85.3,80.1,73.9
gru,PR,89.8,85.5,80.3,74.0
gru,ACC,89.9,85.4,80.2,74.0
gru,F1,89.9,85.5,80.3,74.1
gru,AUC,89.7,85.8,80.3,74.0
aea,DR,92.0,87.7,82.7,76.7
aea,FA,8.3,12.4,17.4,22.5
aea,SP,91.7,87.6,82.6,77.5
aea,PR,91.8,87.5,82.6,77.9
aea,ACC,91.8,87.6,82.6,77.1
aea,F1,91.9,87.6,82.6,77.2
aea,AUC,91.4,87.3,82.6,77.3
